QueryType,QueryValue,ActivityType,JobPostUrl,CompanyName,CompanyWebsite,JobTitle,JobLocation,PostedOn,NumberOfApplicants,Industry,EmploymentType,SeniorityLevel,JobFunction,JobPosterProfileUrl,JobPosterFirstName,JobPosterLastName,DegreeOfConnection,ScrapedDate
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2214333680,Multinacional de Seguros,http://www.multinacional.com.ve,Subgerente de Concesiones y Medioambiental,Talagante Province Santiago Metropolitan Chile,10/11/2020 13:57:34,5,Information Technology & Services. Human Resources. Financial Services,Full-time,Entry level,Other,N/A,N/A,N/A,N/A,10/20/2020 3:21:21 AM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2207077244,Virtualys,http://www.virtualys.fr,Trabajo Profesional Moodle,Santiago Santiago Metropolitan Chile,10/06/2020 21:00:00,3,Marketing & Advertising. Human Resources. Management Consulting,Full-time,Entry level,Other,N/A,N/A,N/A,N/A,10/20/2020 3:21:59 AM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2211374834,Tenpo,https://www.tenpo.cl,Community Manager SAC,Santiago Santiago Metropolitan Chile,10/16/2020 10:48:46,208,Financial Services,Full-time,Associate,Public Relations. Writing/Editing. Customer Service,N/A,N/A,N/A,N/A,10/20/2020 3:22:38 AM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2207058498,ENFERMERIA GN,http://ENFERMERIAGN.WEBNODE.ES,Trabajo Supervisor De Bodega,San Bernardo Santiago Metropolitan Chile,10/08/2020 21:00:00,3,Marketing & Advertising. Human Resources. Hospital & Health Care,Full-time,Mid-Senior level,Other,N/A,N/A,N/A,N/A,10/20/2020 3:23:30 AM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2209754887,Seguros Falabella ,https://web.segurosfalabella.com/cl/,Category Manager,Santiago Santiago Metropolitan Chile,10/15/2020 15:24:02,451,Financial Services,Full-time,Associate,General Business. Marketing. Product Management,https://www.linkedin.com/in/ACoAAC0TDN4BzzGs69mRmXWAN4RPMp84LMssDHA,Isidora Floria,Pascual Orsini,DISTANCE_3,10/20/2020 3:24:30 AM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2211550264,Accenture Chile,http://www.accenture.com/cl-es,Analista Ciberseguridad ,Santiago Santiago Metropolitan Chile,10/16/2020 10:59:54,124,Management Consulting,Full-time,Entry level,Engineering. Information Technology,N/A,N/A,N/A,N/A,10/20/2020 3:25:31 AM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2212510844,Option,http://www.option.com,Líder Experiencia Usuario,Santiago Santiago Metropolitan Chile,10/16/2020 22:48:16,6,Marketing & Advertising. Human Resources. Financial Services,Full-time,Not Applicable,Other,N/A,N/A,N/A,N/A,10/20/2020 3:26:01 AM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2201358046,Vida Cámara,http://www.vidacamara.cl,Analista TÉCnico Senior,Santiago Santiago Metropolitan Chile,10/09/2020 21:00:00,1,Human Resources. Insurance. Financial Services,Full-time,Associate,Information Technology,N/A,N/A,N/A,N/A,10/20/2020 3:26:59 AM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2207068894,ACL Tecnología,http://www.acl.cl,Trabajo Reponedor Part Time,Santiago Santiago Metropolitan Chile,10/05/2020 21:00:00,10,Staffing & Recruiting. Telecommunications. Human Resources,Part-time,Entry level,Sales. Business Development,N/A,N/A,N/A,N/A,10/20/2020 3:27:43 AM
Search Url,https://www.linkedin.com/jobs/search/?geoId=90009899&location=Santiago%20Metropolitan%20Area,JobScraper,https://www.linkedin.com/jobs/view/2212546966,GRUPO ALCANSA,http://www.alcansa.cl,Asistente de Operaciones / RRHH (Vitacura) - alcansa,Vitacura Santiago Metropolitan Chile,10/16/2020 23:12:27,12,Construction. Staffing & Recruiting. Human Resources,Full-time,Entry level,Administrative,N/A,N/A,N/A,N/A,10/20/2020 3:28:39 AM
